cycle,offset,drift_filtered,drift_unfiltered
708,6,0.093946,-9.751436
709,4,0.081097,-19.560667
710,4,0.07137,0.0
711,7,0.028837,29.295731
712,3,0.095532,-39.064407
713,3,0.048315,0.0
714,8,0.115339,48.894974
715,3,-0.008146,-48.826218
716,4,0.102046,4.882884
717,2,0.008627,-19.531822
718,8,0.046229,58.59375
719,3,0.112813,-48.829079
720,5,0.036366,19.530296
721,1,0.026827,-39.063263
722,6,0.084048,48.828125
723,3,0.055906,-28.81706
724,8,0.0376,49.574158
725,4,0.112885,-39.104507
726,5,0.045783,9.771064
727,3,0.075416,-19.339928
728,7,-0.026271,39.452012
729,2,0.067677,-48.829556
730,7,-0.038772,48.826218
731,3,-0.029292,-39.064789
732,6,0.082607,29.296589
733,2,-0.021495,-39.0625
734,-1,-0.05655,-28.725177
735,9,0.072006,99.64427
736,3,0.032518,-58.590889
737,5,0.011914,19.532585
738,14,0.153184,87.880327
739,-4,0.027578,-87.894058
740,5,0.123354,87.856306
741,7,0.132898,19.538501
742,3,0.104539,-38.806318
743,3,0.114076,0.0
744,5,0.161761,19.532013
745,1,0.047335,-39.050678
746,10,0.142726,87.914664
747,4,0.114433,-58.267135
748,5,0.124024,9.820964
749,1,0.133558,-39.062119
750,9,0.086024,78.122711
751,1,0.076111,-78.124237
752,9,0.162005,78.121185
753,-2,0.066623,-107.435514
754,6,0.095268,78.11966
755,3,0.133468,-29.298878
756,-2,0.095856,-48.216473
757,16,0.192906,178.023934
758,-1,0.049675,-166.028596
759,5,0.203124,58.594322
760,5,0.031473,0.0
761,5,0.126718,0.0
762,8,0.145781,29.298019
763,2,0.11717,-58.594322
764,3,0.060062,9.766006
765,3,0.136486,0.0
766,5,0.117416,19.531441
767,9,0.184151,39.058686
768,1,0.069996,-78.128815
769,2,0.108042,9.765434
770,6,0.126897,39.0625
771,4,0.088814,-19.452793
772,3,0.117392,-9.724599
773,7,0.154671,38.174131
774,2,0.13404,-50.422541
775,6,0.057767,39.0625
776,5,0.153159,-9.76553
777,9,0.163148,39.058304
778,2,0.057736,-68.366719
779,6,0.143677,39.058686
780,2,0.077186,-39.066697
781,2,0.106097,0.0
782,5,0.105967,29.164439
783,3,0.096537,-19.421813
784,5,0.133527,19.556077
785,3,0.104071,-19.708123
786,7,0.132439,38.814602
787,11,0.1899,39.309335
788,-4,0.018227,-146.497251
789,6,0.189886,97.654343
790,7,0.04684,9.765816
791,1,0.055884,-58.59375
792,6,0.046885,48.823834
793,3,0.116033,-29.299736
794,5,0.030949,19.531059
795,7,0.04042,19.531059
796,1,0.054734,-14.648509
797,4,0.083344,29.297447
798,3,-0.003623,-9.765625
799,10,0.207466,68.356037
800,-1,0.054869,-107.430268
801,4,0.064405,48.826695
802,12,0.168479,77.520131
803,-2,0.110866,-137.791207
804,14,0.120394,156.245422
805,-5,0.023478,-184.963445
806,5,-0.005725,96.896408
807,5,0.188443,0.0
808,3,0.063537,-19.531822
809,4,0.06347,9.697534
810,5,0.092138,9.826561
811,8,0.130306,29.318921
812,1,0.025484,-68.363381
813,3,0.111364,19.493367
814,8,0.17818,48.864869
815,3,0.026838,-48.241128
816,3,0.074831,0.0
817,3,0.093684,0.0
818,0,0.055159,-29.56772
819,11,0.151595,108.515508
820,-8,-0.044468,-186.11941
821,18,0.275652,250.048086
822,1,0.112979,-166.576846
823,7,0.17015,58.542868
824,3,0.132488,-38.56574
825,11,0.152222,78.925041
826,-1,0.075628,-117.496157
827,5,0.103088,57.417367
828,4,0.131351,-10.120638
829,9,0.179034,48.827171
830,-1,0.111546,-97.657204
831,4,0.079743,47.651723
832,7,0.156018,30.038449
833,4,0.089206,-29.298878
834,10,0.14642,58.586884
835,4,0.089199,-58.594894
836,-1,0.003324,-48.830032
837,5,0.079676,58.594894
838,3,0.08921,-19.532585
839,11,0.175036,78.11966
840,-3,-0.03478,-136.729432
841,5,0.060588,78.124237
842,7,0.117806,19.530487
843,4,0.032032,-29.240621
844,9,0.108415,48.918892
845,1,0.041655,-78.128052
846,9,0.127471,78.109744
847,2,0.022638,-68.287353
848,5,0.084636,14.657312
849,-4,-0.029814,-87.900926
850,4,0.065489,78.121948
851,7,0.065395,29.298019
852,2,0.046319,-48.829556
853,4,0.027202,19.487289
854,8,0.113116,39.148137
855,1,0.017745,-68.361378
856,2,0.027258,9.740987
857,6,0.084487,39.07891
858,12,0.103666,58.716458
859,-1,-0.019947,-126.579813
860,5,0.094664,58.767067
861,2,0.018459,-29.205323
862,3,0.066175,9.797294
863,17,0.142446,136.693387
864,1,0.061629,-150.936277
865,-1,-0.005955,-20.246399
866,4,0.051266,48.830032
867,5,0.070236,9.673612
868,4,0.070477,-9.533979
869,5,0.061056,9.883962
870,5,0.099203,0.0
871,3,0.013373,-19.531822
872,4,0.070592,9.765816
873,13,0.118263,87.877752
874,-3,-0.015272,-156.271365
875,5,0.02287,78.11966
876,2,0.089625,-29.298306
877,5,0.061137,29.297447
878,3,0.106592,-19.531441
879,5,0.005995,18.648888
880,5,0.072748,0.0
881,7,0.063213,19.532967
882,4,0.044045,-29.295158
883,13,0.14914,87.883759
884,-5,-0.022535,-175.794984
885,5,0.034688,97.658157
886,4,0.072835,-9.766102
887,4,0.034736,0.0
888,4,0.063033,0.0
889,5,0.053271,9.778708
890,6,0.062616,9.569378
891,4,0.029042,-19.732039
892,3,0.095609,-9.867382
893,8,0.095691,48.826695
894,0,0.009828,-78.128815
895,-1,0.028904,-9.76553
896,10,0.133693,107.303464
897,7,0.076989,-29.328667
898,3,0.056897,-39.063644
899,10,0.11337,68.35804
900,2,0.056166,-78.122711
901,-5,-0.047791,-67.29087
902,14,0.193454,188.43785
903,2,0.043369,-114.624128
904,3,0.043594,9.994803
905,2,0.072273,-9.695841
906,9,0.082294,68.853588
907,5,0.072792,-39.027056
908,1,0.063222,-39.09992
909,5,0.07276,39.064026
910,6,0.091802,9.765244
911,2,0.02495,-39.062881
912,7,0.129854,48.826218
913,7,0.091707,0.0
914,1,0.023756,-59.816364
915,5,0.089791,38.321885
916,4,0.070531,-9.957482
917,4,0.089604,0.0
918,4,0.08033,0.0
919,5,0.050581,9.741841
920,6,0.117364,9.789334
921,3,0.050753,-29.297733
922,8,0.098437,48.827648
923,3,0.080028,-48.827648
924,1,0.051475,-19.531822
925,5,0.099216,39.062119
926,4,0.06107,-9.765339
927,4,0.089679,0.0
928,5,0.080175,9.765053
929,8,0.099233,29.297733
930,2,0.070626,-58.592033
931,4,0.0897,19.532013
932,9,0.060931,48.826695
933,0,0.099078,-87.897492
934,4,0.070341,38.930956
935,4,0.089415,0.0
936,5,0.079887,9.772974
937,9,0.118034,39.063263
938,7,0.070353,-19.530678
939,6,0.079889,-9.765625
940,0,0.080279,-58.198184
941,9,0.128548,88.489484
942,2,0.033898,-67.62501
943,1,0.081461,-9.840776
944,-2,0.00533,-29.090345
945,13,0.17849,148.018038
946,5,0.083118,-78.129578
947,5,0.10219,0.0
948,3,0.092652,-19.530869
949,6,0.102201,29.296589
950,3,0.102262,-29.296875
951,7,0.159485,39.063263
952,3,0.130791,-39.062119
